original_path,new_path,sha256_before,sha256_after,match,reason,notes
E:\IMPERIUM\00_AGENT_MAP.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\00_AGENT_MAP.md,05cd5c2c424fd06cdd21236e2e185a44e68fa9306fd471f85c9a472f3c842022,05cd5c2c424fd06cdd21236e2e185a44e68fa9306fd471f85c9a472f3c842022,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\IMPERIUM_FOLDER_MAP.json,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\IMPERIUM_FOLDER_MAP.json,85cc10e12990f3a0c9daaa67746469226c877868070ce34ae52c414e3d54edf9,85cc10e12990f3a0c9daaa67746469226c877868070ce34ae52c414e3d54edf9,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\IMPERIUM_LIGHT_SNAPSHOT_20260507_164459.zip,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\IMPERIUM_LIGHT_SNAPSHOT_20260507_164459.zip,f7f8d6a18e2fe0d3080d4e3a937c86c6f091feb6b6a4e354742b0e82cd3733a1,f7f8d6a18e2fe0d3080d4e3a937c86c6f091feb6b6a4e354742b0e82cd3733a1,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\PC_ARTIFACTS_VAULT_BOOTSTRAP_AND_VM2_ROUTE_PROOF_REGISTRATION_20260508_1703.zip,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\PC_ARTIFACTS_VAULT_BOOTSTRAP_AND_VM2_ROUTE_PROOF_REGISTRATION_20260508_1703.zip,f930027d96e127ea8fc5a45d5a7613fbfd751325ec54927fe5f5c42c095c2444,f930027d96e127ea8fc5a45d5a7613fbfd751325ec54927fe5f5c42c095c2444,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\PC_ARTIFACTS_VAULT_BOOTSTRAP_AND_VM2_ROUTE_PROOF_REGISTRATION_20260508_1703.zip.sha256,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\PC_ARTIFACTS_VAULT_BOOTSTRAP_AND_VM2_ROUTE_PROOF_REGISTRATION_20260508_1703.zip.sha256,1d21227070fbf8d12474624ed709f160ed2b62ef4cb921ae89b1831be7de7048,1d21227070fbf8d12474624ed709f160ed2b62ef4cb921ae89b1831be7de7048,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\PC_ENGINEERING_ROOM_BOOTSTRAP_V1_20260508_1344.sha256,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\PC_ENGINEERING_ROOM_BOOTSTRAP_V1_20260508_1344.sha256,e2ad7f896bd79122bbb29841b74d7b9d257820197e15fca51b47395ebcba1d25,e2ad7f896bd79122bbb29841b74d7b9d257820197e15fca51b47395ebcba1d25,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\PC_ENGINEERING_ROOM_BOOTSTRAP_V1_20260508_1344.zip,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\PC_ENGINEERING_ROOM_BOOTSTRAP_V1_20260508_1344.zip,eab77f8fd81b97bbea44028a40338003902e760b11be679f0e42648a37c66959,eab77f8fd81b97bbea44028a40338003902e760b11be679f0e42648a37c66959,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\PC_LOCAL_IMPERIUM_ANALYSIS_20260507_1711.sha256,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\PC_LOCAL_IMPERIUM_ANALYSIS_20260507_1711.sha256,0726ec0438f61286da95c4edd1659ee6ac1764d64ef7731f07c45d248f226283,0726ec0438f61286da95c4edd1659ee6ac1764d64ef7731f07c45d248f226283,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\PC_LOCAL_IMPERIUM_ANALYSIS_20260507_1711.zip,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\PC_LOCAL_IMPERIUM_ANALYSIS_20260507_1711.zip,244fa4d56063f76dea0e3d7c56b4e849440467dd71631cdecc78e55b8a06c7f1,244fa4d56063f76dea0e3d7c56b4e849440467dd71631cdecc78e55b8a06c7f1,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\PC_READ_ONLY_CLASSIFICATION_AND_REPAIR_PLAN_20260507_1813.sha256,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\PC_READ_ONLY_CLASSIFICATION_AND_REPAIR_PLAN_20260507_1813.sha256,26000de9cf6b5eac7c73b5cf4b003b1a18e2388a59a9d40c398a2571af7308c7,26000de9cf6b5eac7c73b5cf4b003b1a18e2388a59a9d40c398a2571af7308c7,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\PC_READ_ONLY_CLASSIFICATION_AND_REPAIR_PLAN_20260507_1813.zip,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\PC_READ_ONLY_CLASSIFICATION_AND_REPAIR_PLAN_20260507_1813.zip,39e27ee014fb25e7ff0b4b3ac2e80e569b73a0c2153133ab704fb924807adcda,39e27ee014fb25e7ff0b4b3ac2e80e569b73a0c2153133ab704fb924807adcda,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\ROOT_CLEANUP_CANDIDATES.csv,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\ROOT_CLEANUP_CANDIDATES.csv,75fbc2f9818c6bf69a14ecfbd0a54a0eb94bdde561b6475b1beb753d0e1a13bf,75fbc2f9818c6bf69a14ecfbd0a54a0eb94bdde561b6475b1beb753d0e1a13bf,YES,root-level files must be routed into task artifacts,move-only
E:\IMPERIUM\ROOT_STRUCTURE_BASELINE_REPORT_RU.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR\01_INPUTS\ROOT_LEVEL_FILES_MOVED_FROM_ROOT\ROOT_STRUCTURE_BASELINE_REPORT_RU.md,f9888b886f501f79b87fecb5d9f37b23fe72df8156fecebfd43721daa6049195,f9888b886f501f79b87fecb5d9f37b23fe72df8156fecebfd43721daa6049195,YES,root-level files must be routed into task artifacts,move-only
