"task_or_folder","path","executor_type","artifact_kind","last_write_time"
"_MANUAL_PROOFS","E:\IMPERIUM\ARTIFACTS\_MANUAL_PROOFS","MANUAL_OWNER","manual_proof","08.05.2026 19:16:14"
"TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING","PC_SERVITOR","task_artifact","08.05.2026 17:18:18"
"TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR","PC_SERVITOR","root_hygiene","08.05.2026 17:31:48"
"TASK-20260508-0005-FOLDER-SEMANTIC-MAP-V1","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0005-FOLDER-SEMANTIC-MAP-V1","PC_SERVITOR","semantic_map","08.05.2026 18:20:29"
"TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP","VM2_SERVITOR_OR_VM2_STAGE","vm2_worker_room_bootstrap","08.05.2026 18:30:21"
"TASK-20260508-0008-VM2-LEGACY-INBOX-REPAIR","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0008-VM2-LEGACY-INBOX-REPAIR","VM2_SERVITOR_OR_VM2_STAGE","vm2_stage_bundle_task","08.05.2026 19:09:36"
"TASK-20260508-0009-PC-VM2-PYTHON-TOOLS-REGISTRATION","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0009-PC-VM2-PYTHON-TOOLS-REGISTRATION","VM2_SERVITOR_OR_VM2_STAGE","python_tool_registration","08.05.2026 19:12:39"
"TASK-20260508-0010-PC-VM2-PYTHON-TOOLS-SMOKE-TEST","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0010-PC-VM2-PYTHON-TOOLS-SMOKE-TEST","VM2_SERVITOR_OR_VM2_STAGE","python_tool_smoke_test","08.05.2026 19:14:45"
"TASK-20260508-0011-IMPERIUM-CONTINUITY-PACK-V1","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0011-IMPERIUM-CONTINUITY-PACK-V1","UNKNOWN","task_artifact","08.05.2026 19:31:00"
"TASK-TEST-VM2-PYTHON-SEND","E:\IMPERIUM\ARTIFACTS\TASK-TEST-VM2-PYTHON-SEND","VM2_SERVITOR_OR_VM2_STAGE","task_artifact","08.05.2026 19:13:04"
